State,African America/Black Population,2012 - Number of Cases of Police Brutality,State Population,"2012 - Cases per 10,000 Black People",2012 - Black Percentage,African America/Black Population,2013 - Number of Cases of Police Brutality,State Population,"2013 - Cases per 10,000 Black People",2013 - Black Percentage,African America/Black Population,2014 - Number of Cases of Police Brutality,State Population,"2014 - Cases per 10,000 Black People",2014 - Black Percentage,African America/Black Population,2015 - Number of Cases of Police Brutality,State Population,"2015 - Cases per 10,000 Black People",2015 - Black Percentage,African America/Black Population,2016 - Number of Cases of Police Brutality,State Population,"2016 - Cases per 10,000 Black People",2016 - Black Percentage,African America/Black Population,2017 - Number of Cases of Police Brutality,Population of Each State ,"2017 - Cases per 10,000 Black People",2017 - Black Percentage,
New Mexico,59000,0,2039000,0.00,2.89%,61000,2,2067000,3.28,2.95%,61000,1,"2,100,000",1.64,2.90%,72000,0,"2,035,000",0.00,3.54%,76000,0,"2,041,000",0.00,3.72%,69000,17,"2,045,000",24.64,3.37%,
Maine,23000,0,1330000,0.00,1.73%,26000,0,1332000,0.00,1.95%,24000,0,"1,312,000",0.00,1.83%,34000,0,"1,300,000",0.00,2.62%,28000,0,"1,342,000",0.00,2.09%,28000,1,"1,322,000",3.57,2.12%,
Missouri,768000,17,5898000,2.21,13.02%,792000,13,5963000,1.64,13.28%,782000,20,"6,005,000",2.56,13.02%,748000,14,"5,961,000",1.87,12.55%,763000,13,"5,963,000",1.70,12.80%,732000,18,"5,889,000",2.46,12.43%,
Washington,331000,3,6817000,0.91,4.86%,405000,7,6873000,1.73,5.89%,334000,3,"6,862,000",0.90,4.87%,376000,2,"7,085,000",0.53,5.31%,395000,6,"7,195,000",1.52,5.49%,372000,9,"7,297,000",2.42,5.10%,
Indiana,636000,9,6353000,1.42,10.01%,693000,18,6348000,2.60,10.92%,646000,5,"6,404,000",0.77,10.09%,652000,9,"6,478,000",1.38,10.06%,640000,5,"6,512,000",0.78,9.83%,666000,16,"6,503,000",2.40,10.24%,
Wisconsin,391000,0,5686000,0.00,6.88%,379000,7,5648000,1.85,6.71%,393000,4,"5,632,000",1.02,6.98%,403000,3,"5,747,000",0.74,7.01%,430000,6,"5,738,000",1.40,7.49%,464000,10,"5,766,000",2.16,8.05%,
Arkansas,465000,7,2909000,1.51,15.98%,458000,7,2914000,1.53,15.72%,475000,3,"2,941,000",0.63,16.15%,496000,3,"2,896,000",0.60,17.13%,487000,9,"2,953,000",1.85,16.49%,475000,10,"2,945,000",2.11,16.13%,
Nevada,265000,4,2684000,1.51,9.87%,299000,1,2740000,0.33,10.91%,313000,6,"2,760,000",1.92,11.34%,286000,4,"2,823,000",1.40,10.13%,283000,2,"2,867,000",0.71,9.87%,333000,7,"2,943,000",2.10,11.31%,
Oregon,87000,1,3856000,1.15,2.26%,103000,1,3877000,0.97,2.66%,127000,0,"3,941,000",0.00,3.22%,136000,0,"3,962,000",0.00,3.43%,120000,1,"4,033,000",0.83,2.98%,105000,2,"4,130,000",1.90,2.54%,
Utah,46000,1,2814000,2.17,1.63%,57000,0,2854000,0.00,2.00%,61000,1,"2,878,000",1.64,2.12%,51000,1,"2,929,000",1.96,1.74%,55000,0,"3,005,000",0.00,1.83%,53000,1,"3,080,000",1.89,1.72%,
